timestamp,window_id,slug,reason,entry_mode,entry_side,current_atr,up_ask,down_ask,budget_multiplier,cheaper_side_ratio,total_budget,buy_up_usd,buy_up_shares,buy_down_usd,buy_down_shares
1780530487137,12,btc-updown-5m-1780530600,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.070_discount_req_0.025_combined_1.03_atr_83.08_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,83.0786,0.5500,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780530802140,13,btc-updown-5m-1780530900,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.070_discount_req_0.025_combined_1.03_atr_78.85_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,78.8500,0.5500,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780531079141,14,btc-updown-5m-1780531200,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.025_combined_1.02_atr_80.45_atr_regime_volatile_budget_mult_0.10,one_side,DOWN,80.4500,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780531379140,15,btc-updown-5m-1780531500,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_98.79_atr_regime_storm_budget_mult_0.10,one_side,DOWN,98.7857,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780531679142,16,btc-updown-5m-1780531800,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_99.73_atr_regime_storm_budget_mult_0.10,one_side,DOWN,99.7286,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780531979144,17,btc-updown-5m-1780532100,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.030_discount_req_0.035_combined_1.03_atr_105.33_atr_regime_storm_budget_mult_0.10,one_side,DOWN,105.3286,0.5300,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780532298147,18,btc-updown-5m-1780532400,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.060_discount_req_0.035_combined_1.02_atr_95.61_atr_regime_storm_budget_mult_0.10,one_side,DOWN,95.6071,0.5400,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780532581144,19,btc-updown-5m-1780532700,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_90.29_atr_regime_storm_budget_mult_0.10,one_side,DOWN,90.2929,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780532879142,20,btc-updown-5m-1780533000,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.060_discount_req_0.035_combined_1.02_atr_117.41_atr_regime_storm_budget_mult_0.10,one_side,DOWN,117.4071,0.5400,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780533179143,21,btc-updown-5m-1780533300,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.050_discount_req_0.035_combined_1.01_atr_165.78_atr_regime_storm_budget_mult_0.10,one_side,DOWN,165.7786,0.5300,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
