window_id,slug,spent,returned,pnl,timestamp
69,btc-updown-15m-1780125300,30.00,23.24,-6.76,1780126199188
70,btc-updown-15m-1780126200,30.00,32.50,2.50,1780127099186
71,btc-updown-15m-1780127100,30.00,30.53,0.53,1780127999186
72,btc-updown-15m-1780128000,30.00,30.65,0.65,1780128899190
73,btc-updown-15m-1780128900,30.00,28.28,-1.72,1780129799188
74,btc-updown-15m-1780129800,30.00,26.94,-3.06,1780130699189
75,btc-updown-15m-1780130700,30.00,31.84,1.84,1780131599189
77,btc-updown-15m-1780132500,30.00,31.06,1.06,1780133399190
78,btc-updown-15m-1780133400,30.00,32.39,2.39,1780134299191
79,btc-updown-15m-1780134300,30.00,32.16,2.16,1780135199195
82,btc-updown-15m-1780137000,30.00,34.29,4.29,1780137899192
83,btc-updown-15m-1780137900,30.00,31.93,1.93,1780138799192
84,btc-updown-15m-1780138800,30.00,22.15,-7.85,1780139699194
85,btc-updown-15m-1780139700,30.00,31.55,1.55,1780140599196
86,btc-updown-15m-1780140600,30.00,22.62,-7.38,1780141499197
87,btc-updown-15m-1780141500,30.00,18.39,-11.61,1780142399199
88,btc-updown-15m-1780142400,30.00,29.45,-0.55,1780143299192
1,btc-updown-5m-1780143600,30.00,22.71,-7.29,1780143899832
89,btc-updown-15m-1780143300,30.00,31.91,1.91,1780144199192
2,btc-updown-5m-1780143900,30.00,30.92,0.92,1780144199833
4,btc-updown-5m-1780144500,30.00,29.18,-0.82,1780144799831
7,btc-updown-5m-1780145400,30.00,20.77,-9.23,1780145699828
9,btc-updown-5m-1780146000,30.00,31.41,1.41,1780146299825
13,btc-updown-5m-1780147200,41.54,38.62,-2.92,1780147499823
14,btc-updown-5m-1780147500,30.00,21.23,-8.77,1780147799863
15,btc-updown-5m-1780147800,30.00,22.85,-7.15,1780148099821
16,btc-updown-5m-1780148100,30.00,31.29,1.29,1780148399820
17,btc-updown-5m-1780148400,30.00,21.46,-8.54,1780148699821
18,btc-updown-5m-1780148700,30.00,28.53,-1.47,1780148999821
19,btc-updown-5m-1780149000,44.71,19.24,-25.47,1780149299820
20,btc-updown-5m-1780149300,30.00,35.01,5.01,1780149599820
22,btc-updown-5m-1780149900,30.00,37.90,7.90,1780150199822
24,btc-updown-5m-1780150500,30.00,30.53,0.53,1780150799822
26,btc-updown-5m-1780151100,41.54,47.21,5.67,1780151399821
27,btc-updown-5m-1780151400,30.00,35.38,5.38,1780151699822
29,btc-updown-5m-1780152000,30.00,29.76,-0.24,1780152299823
30,btc-updown-5m-1780152300,30.00,33.76,3.76,1780152599827
31,btc-updown-5m-1780152600,41.54,24.70,-16.84,1780152899827
32,btc-updown-5m-1780152900,30.00,27.76,-2.24,1780153199827
34,btc-updown-5m-1780153500,30.00,31.93,1.93,1780153799830
100,btc-updown-15m-1780153200,30.00,32.13,2.13,1780154099190
35,btc-updown-5m-1780153800,44.71,19.24,-25.47,1780154099830
101,btc-updown-15m-1780154100,30.00,31.93,1.93,1780154999189
103,btc-updown-15m-1780155900,30.00,21.23,-8.77,1780156799220
104,btc-updown-15m-1780156800,30.00,36.88,6.88,1780157699220
106,btc-updown-15m-1780158600,30.00,29.41,-0.59,1780159499219
108,btc-updown-15m-1780160400,30.00,27.49,-2.51,1780161299222
111,btc-updown-15m-1780163100,30.00,31.93,1.93,1780163999225
114,btc-updown-15m-1780165800,30.00,18.36,-11.64,1780166699233
116,btc-updown-15m-1780167600,30.00,29.33,-0.67,1780168499240
117,btc-updown-15m-1780168500,30.00,24.51,-5.49,1780169399253
118,btc-updown-15m-1780169400,30.00,31.70,1.70,1780170299264
119,btc-updown-15m-1780170300,30.00,32.18,2.18,1780171199275
120,btc-updown-15m-1780171200,30.00,19.88,-10.12,1780172099281
121,btc-updown-15m-1780172100,30.00,26.25,-3.75,1780172999289
123,btc-updown-15m-1780173900,30.00,23.78,-6.22,1780174799299
124,btc-updown-15m-1780174800,30.00,31.74,1.74,1780175699305
125,btc-updown-15m-1780175700,30.00,31.93,1.93,1780176599332
126,btc-updown-15m-1780176600,30.00,32.44,2.44,1780177499311
127,btc-updown-15m-1780177500,30.00,32.16,2.16,1780178399313
128,btc-updown-15m-1780178400,30.00,31.91,1.91,1780179299394
132,btc-updown-15m-1780182000,30.00,30.71,0.71,1780182899328
133,btc-updown-15m-1780182900,30.00,31.53,1.53,1780183799332
134,btc-updown-15m-1780183800,30.00,28.24,-1.76,1780184699335
135,btc-updown-15m-1780184700,30.00,22.62,-7.38,1780185599339
137,btc-updown-15m-1780186500,30.00,32.82,2.82,1780187399386
139,btc-updown-15m-1780188300,30.00,32.10,2.10,1780189199347
143,btc-updown-15m-1780191900,30.00,31.77,1.77,1780192799391
144,btc-updown-15m-1780192800,30.00,22.85,-7.15,1780193699352
146,btc-updown-15m-1780194600,30.00,31.60,1.60,1780195499350
147,btc-updown-15m-1780195500,30.00,30.94,0.94,1780196399354
148,btc-updown-15m-1780196400,30.00,32.30,2.30,1780197299351
149,btc-updown-15m-1780197300,30.00,32.16,2.16,1780198199354
151,btc-updown-15m-1780199100,30.00,30.71,0.71,1780199999358
152,btc-updown-15m-1780200000,30.00,31.70,1.70,1780200899354
153,btc-updown-15m-1780200900,30.00,30.06,0.06,1780201799356
154,btc-updown-15m-1780201800,30.00,30.13,0.13,1780202699358
155,btc-updown-15m-1780202700,30.00,30.31,0.31,1780203599357
157,btc-updown-15m-1780204500,30.00,32.07,2.07,1780205399358
158,btc-updown-15m-1780205400,30.00,26.94,-3.06,1780206299405
162,btc-updown-15m-1780209000,30.00,22.62,-7.38,1780209899409
163,btc-updown-15m-1780209900,30.00,28.98,-1.02,1780210799363
164,btc-updown-15m-1780210800,30.00,22.85,-7.15,1780211699364
169,btc-updown-15m-1780215300,30.00,22.62,-7.38,1780216199377
