timestamp,window_id,slug,pnl,entry_side,real_winner_side,h_market_win,h_salvaged,h_salvage_win,entry_price,exit_price,cum_market_wins,cum_market_losses,cum_salvage_escapes,cum_salvage_wins
1781630999201,112,btc-updown-15m-1781630100,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,22,33,23,0
1781631899198,113,btc-updown-15m-1781631000,-13.8462,UP,UP,true,true,false,0.39,0.19,23,33,24,0
1781632799204,114,btc-updown-15m-1781631900,-27.0000,DOWN,UP,false,false,false,0.40,,23,34,24,0
1781633699209,115,btc-updown-15m-1781632800,-27.0000,DOWN,UP,false,false,false,0.40,,23,35,24,0
1781634599213,116,btc-updown-15m-1781633700,-27.0000,UP,DOWN,false,false,false,0.40,,23,36,24,0
1781635499217,117,btc-updown-15m-1781634600,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,24,36,24,0
1781636399219,118,btc-updown-15m-1781635500,-14.5385,DOWN,UP,false,true,false,0.39,0.18,24,37,25,0
1781639099264,121,btc-updown-15m-1781638200,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,25,37,25,0
1781639999231,122,btc-updown-15m-1781639100,-9.6923,DOWN,UP,false,true,false,0.39,0.25,25,38,26,0
1781640899238,123,btc-updown-15m-1781640000,42.2308,UP,UP,true,false,false,0.39,1.00,26,38,26,0
1781642699242,125,btc-updown-15m-1781641800,-27.0000,DOWN,UP,false,false,false,0.39,,26,39,26,0
1781643599247,126,btc-updown-15m-1781642700,40.5000,UP,UP,true,false,false,0.40,1.00,27,39,26,0
1781644499252,127,btc-updown-15m-1781643600,40.5000,UP,UP,true,false,false,0.40,1.00,28,39,26,0
1781645399255,128,btc-updown-15m-1781644500,-27.0000,UP,DOWN,false,false,false,0.40,,28,40,26,0
1781646299256,129,btc-updown-15m-1781645400,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,29,40,26,0
1781647199260,130,btc-updown-15m-1781646300,-23.6250,DOWN,UP,false,true,false,0.40,0.05,29,41,27,0
1781648999268,132,btc-updown-15m-1781648100,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,30,41,27,0
1781649899272,133,btc-updown-15m-1781649000,-14.1750,UP,DOWN,false,true,false,0.40,0.19,30,42,28,0
1781650799275,134,btc-updown-15m-1781649900,44.0526,UP,UP,true,false,false,0.38,1.00,31,42,28,0
1781651699278,135,btc-updown-15m-1781650800,48.0000,DOWN,DOWN,true,false,false,0.36,1.00,32,42,28,0
1781652599280,136,btc-updown-15m-1781651700,-22.3425,UP,DOWN,false,true,false,0.40,0.06,32,43,29,0
1781653499282,137,btc-updown-15m-1781652600,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,33,43,29,0
1781654399288,138,btc-updown-15m-1781653500,-27.0000,UP,DOWN,false,false,false,0.39,,33,44,29,0
1781656199294,140,btc-updown-15m-1781655300,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,34,44,29,0
1781657099298,141,btc-updown-15m-1781656200,-27.0000,DOWN,UP,false,false,false,0.40,,34,45,29,0
1781657999301,142,btc-updown-15m-1781657100,-23.4900,UP,DOWN,false,true,false,0.40,0.05,34,46,30,0
1781658899305,143,btc-updown-15m-1781658000,-22.7368,DOWN,UP,false,true,false,0.38,0.06,34,47,31,0
1781660699313,145,btc-updown-15m-1781659800,40.5000,UP,UP,true,false,false,0.40,1.00,35,47,31,0
1781662499322,147,btc-updown-15m-1781661600,-27.0000,UP,DOWN,false,false,false,0.39,,35,48,31,0
1781663399323,148,btc-updown-15m-1781662500,-27.0000,DOWN,UP,false,false,false,0.40,,35,49,31,0
1781665199330,150,btc-updown-15m-1781664300,-16.2000,DOWN,UP,false,true,false,0.40,0.16,35,50,32,0
1781668799341,154,btc-updown-15m-1781667900,40.5000,UP,UP,true,false,false,0.40,1.00,36,50,32,0
1781669699347,155,btc-updown-15m-1781668800,-15.6316,UP,DOWN,false,true,false,0.38,0.16,36,51,33,0
1781670599352,156,btc-updown-15m-1781669700,40.5000,UP,UP,true,false,false,0.40,1.00,37,51,33,0
1781673299361,159,btc-updown-15m-1781672400,-27.0000,UP,DOWN,false,false,false,0.39,,37,52,33,0
1781674199366,160,btc-updown-15m-1781673300,40.5000,UP,UP,true,false,false,0.40,1.00,38,52,33,0
1781675099371,161,btc-updown-15m-1781674200,40.5000,UP,UP,true,false,false,0.40,1.00,39,52,33,0
1781675999374,162,btc-updown-15m-1781675100,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,40,52,33,0
