timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner,strategy,utc_hour,time_pct_at_close,final_gap_z,final_atr,mid_cross_count,significant_mid_cross_count,entry_side,entry_reason,would_redeem_hold,h_market_win,h_salvaged,h_salvage_win
1781855999791,73,eth-updown-5m-1781855700,CLOSED_TIME,64.0000,64.6465,0.6465,1694.1038,1692.5285,UP,j_endgame,7,100.00,9.4697,1.2886,0,0,UP,j_final_seal_taker_up_fill_0.99_ask_0.99_gap_z_+1.26_phase_accumulate_pnl_proj_+0.00_tape_$94/15_xc0,false,,,
1781856899796,76,eth-updown-5m-1781856600,CLOSED_TIME,68.1339,69.7806,1.6467,1694.9508,1692.6281,UP,j_endgame,8,100.00,14.6618,1.2271,1,0,UP,j_final_seal_taker_up_fill_0.97_ask_0.97_gap_z_+1.54_phase_accumulate_pnl_proj_+0.00_tape_$24/3_xc1,false,,,
1781857499799,78,eth-updown-5m-1781857200,CLOSED_TIME,58.9530,59.9920,1.0390,1696.2818,1695.0310,UP,j_endgame,8,100.00,8.3730,1.1571,0,0,UP,j_final_seal_taker_up_fill_0.98_ask_0.99_gap_z_+1.23_phase_accumulate_pnl_proj_+0.00_tape_$246/11_xc0,false,,,
1781858399805,81,eth-updown-5m-1781858100,CLOSED_TIME,70.6439,72.9032,2.2593,1697.2387,1694.2008,UP,j_endgame,8,100.00,21.5175,1.0936,0,0,UP,j_final_seal_taker_up_fill_0.95_ask_0.96_gap_z_+1.23_phase_accumulate_pnl_proj_+0.00_tape_$21/4_xc0,false,,,
1781858699804,82,eth-updown-5m-1781858400,CLOSED_TIME,69.2308,69.9301,0.6993,1694.2512,1697.2432,DOWN,j_endgame,8,100.00,-17.0234,1.3614,0,0,DOWN,j_final_seal_taker_down_fill_0.99_ask_0.99_gap_z_-2.34_phase_accumulate_pnl_proj_+0.00_tape_$0/0_xc0,false,,,
1781858999805,83,eth-updown-5m-1781858700,CLOSED_TIME,64.0000,64.6465,0.6465,1694.8673,1694.2433,UP,j_endgame,8,100.00,4.1795,1.1564,2,1,UP,j_final_seal_taker_up_fill_0.99_ask_0.99_gap_z_+1.42_phase_late_pnl_proj_+0.00_tape_$135/11_xc2,false,,,
1781860499802,88,eth-updown-5m-1781860200,CLOSED_TIME,70.0997,70.8078,0.7081,1690.2572,1692.4422,DOWN,j_endgame,9,100.00,-11.6781,1.4493,0,0,DOWN,j_final_seal_taker_down_fill_0.99_ask_0.99_gap_z_-1.89_phase_accumulate_pnl_proj_+0.00_tape_$19/4_xc0,false,,,
1781861399802,91,eth-updown-5m-1781861100,CLOSED_TIME,49.3055,51.5632,2.2576,1690.1116,1691.5555,DOWN,j_endgame,9,100.00,-9.0559,1.2350,1,1,DOWN,j_final_seal_taker_down_fill_0.95_ask_0.96_gap_z_-1.35_phase_accumulate_pnl_proj_+0.00_tape_$41/18_xc1,false,,,
1781861699803,92,eth-updown-5m-1781861400,CLOSED_TIME,69.1066,69.8047,0.6980,1691.8359,1690.1491,UP,j_endgame,9,100.00,10.4234,1.2536,0,0,UP,j_final_seal_taker_up_fill_0.99_ask_0.99_gap_z_+1.70_phase_accumulate_pnl_proj_+0.00_tape_$26/9_xc0,false,,,
1781863199802,97,eth-updown-5m-1781862900,CLOSED_TIME,59.1999,60.6766,1.4766,1687.5813,1688.8546,DOWN,j_endgame,9,100.00,-7.7662,1.2700,7,0,DOWN,j_final_seal_taker_down_fill_0.96_ask_0.97_gap_z_-1.23_phase_accumulate_pnl_proj_+0.00_tape_$31/8_xc7,false,,,
